"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",48.8,51.2,0,162,161,"161/162"
2,"Bern","Berne","Berna",40.4,59.6,40.4,334,334,
3,"Luzern","Lucerne","Lucerna",34.2,65.8,34.2,80,80,
4,"Uri","Uri","Uri",27.4,72.6,27.4,19,19,
5,"Schwyz","Schwyz","Svitto",29.2,70.8,29.2,30,30,
6,"Obwalden","Obwald","Obvaldo",27.8,72.2,27.8,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",29.2,70.8,29.2,11,11,
8,"Glarus","Glaris","Glarona",40.7,59.3,40.7,3,3,
9,"Zug","Zoug","Zugo",38.7,61.3,38.7,11,11,
10,"Freiburg","Fribourg","Friburgo",31.2,68.8,31.2,128,128,
11,"Solothurn","Soleure","Soletta",40.3,59.7,40.3,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",58.8,41.2,58.8,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",41.5,58.5,41.5,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",44.2,55.8,44.2,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",39.1,60.9,39.1,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",26,74,26,6,6,
17,"St. Gallen","Saint-Gall","San Gallo",37.5,62.5,37.5,77,77,
18,"Graubünden","Grisons","Grigioni",37.8,62.2,37.8,101,101,
19,"Aargau","Argovie","Argovia",38.2,61.8,38.2,210,210,
20,"Thurgau","Thurgovie","Turgovia",34,66,34,80,80,
21,"Tessin","Tessin","Ticino",38,62,38,107,107,
22,"Waadt","Vaud","Vaud",34,66,34,308,308,
23,"Wallis","Valais","Vallese",21.7,78.3,21.7,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",38.6,61.4,38.6,27,27,
25,"Genf","Genève","Ginevra",46.9,53.1,46.9,45,45,
26,"Jura","Jura","Giura",30.7,69.3,30.7,53,53,
