"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3731,20.8,20.8,79.2,"Felsberg GR","Felsberg (GR)","Felsberg GR","Felsberg hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 79,2 Prozent abgelehnt.",,
3732,27.1,27.1,72.9,"Flims GR","Flims (GR)","Flims GR","Flims hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 72,9 Prozent abgelehnt.",,
3733,24.5,24.5,75.5,"Tamins GR","Tamins (GR)","Tamins GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Tamins. 75,5 Prozent haben sie verworfen.",,
3734,50,0,0,"Trin GR","Trin (GR)","Trin GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3746,14.4,14.4,85.6,"Zernez GR","Zernez (GR)","Zernez GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Zernez. 85,6 Prozent haben sie verworfen.",,
3752,15.1,15.1,84.9,"Samnaun GR","Samnaun (GR)","Samnaun GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Samnaun: 84,9 Prozent haben das Begehren abgelehnt.",,
3762,21.6,21.6,78.4,"Scuol GR","Scuol (GR)","Scuol GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Scuol: 78,4 Prozent haben das Begehren abgelehnt.",,
3764,20.2,20.2,79.8,"Valsot GR","Valsot (GR)","Valsot GR","Valsot hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 79,8 Prozent abgelehnt.",,
3781,20.3,20.3,79.7,"Bever GR","Bever (GR)","Bever GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Bever. 79,7 Prozent haben sie verworfen.",,
3782,13.9,13.9,86.1,"Celerina/Schlarigna GR","Celerina/Schlarigna (GR)","Celerina/Schlarigna GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Celerina/Schlarigna. 86,1 Prozent haben sie verworfen.",,
3783,21.6,21.6,78.4,"Madulain GR","Madulain (GR)","Madulain GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Madulain. 78,4 Prozent haben sie verworfen.",,
3784,18.3,18.3,81.7,"Pontresina GR","Pontresina (GR)","Pontresina GR","Pontresina hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 81,7 Prozent abgelehnt.",,
3785,20,20,80,"La Punt-Chamues-ch GR","La Punt-Chamues-ch (GR)","La Punt-Chamues-ch GR","La Punt-Chamues-ch hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 80 Prozent abgelehnt.",,
3786,17,17,83,"Samedan GR","Samedan (GR)","Samedan GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Samedan. 83 Prozent haben sie verworfen.",,
3787,50,0,0,"St. Moritz GR","St. Moritz (GR)","St. Moritz GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3788,50,0,0,"S-chanf GR","S-chanf (GR)","S-chanf GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3789,20.1,20.1,79.9,"Sils im Engadin/Segl GR","Sils im Engadin/Segl (GR)","Sils im Engadin/Segl GR","Sils im Engadin/Segl hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 79,9 Prozent abgelehnt.",,
3790,22.3,22.3,77.7,"Silvaplana GR","Silvaplana (GR)","Silvaplana GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Silvaplana. 77,7 Prozent haben sie verworfen.",,
3791,20.3,20.3,79.7,"Zuoz GR","Zuoz (GR)","Zuoz GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Zuoz: 79,7 Prozent haben das Begehren abgelehnt.",,
3792,16.4,16.4,83.6,"Bregaglia GR","Bregaglia (GR)","Bregaglia GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Bregaglia. 83,6 Prozent haben sie verworfen.",,
3804,6.5,6.5,93.5,"Buseno GR","Buseno (GR)","Buseno GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Buseno mit 29 zu 2 Stimmen abgelehnt worden.",,
3805,37.1,37.1,62.9,"Castaneda GR","Castaneda (GR)","Castaneda GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Castaneda. 62,9 Prozent haben sie verworfen.",,
3808,50,0,0,"Rossa GR","Rossa (GR)","Rossa GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3810,37.5,37.5,62.5,"Santa Maria in Calanca GR","Santa Maria in Calanca (GR)","Santa Maria in Calanca GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Santa Maria in Calanca mit 35 zu 21 Stimmen abgelehnt worden.",,
3821,22.9,22.9,77.1,"Lostallo GR","Lostallo (GR)","Lostallo GR","Lostallo hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 77,1 Prozent abgelehnt.",,
3822,26.2,26.2,73.8,"Mesocco GR","Mesocco (GR)","Mesocco GR","Mesocco hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 73,8 Prozent abgelehnt.",,
3823,19.7,19.7,80.3,"Soazza GR","Soazza (GR)","Soazza GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Soazza. 80,3 Prozent haben sie verworfen.",,
3831,22.8,22.8,77.2,"Cama GR","Cama (GR)","Cama GR","Cama hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 77,2 Prozent abgelehnt.",,
3832,30.6,30.6,69.4,"Grono GR","Grono (GR)","Grono GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Grono: 69,4 Prozent haben das Begehren abgelehnt.",,
3834,50,0,0,"Roveredo GR","Roveredo (GR)","Roveredo GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3835,50,0,0,"San Vittore GR","San Vittore (GR)","San Vittore GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3837,29.2,29.2,70.8,"Calanca GR","Calanca (GR)","Calanca GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Calanca mit 68 zu 28 Stimmen abgelehnt worden.",,
3847,22.3,22.3,77.7,"Val Müstair GR","Val Müstair (GR)","Val Müstair GR","Val Müstair hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 77,7 Prozent abgelehnt.",,
3851,50,0,0,"Davos GR","Davos (GR)","Davos GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3861,50,0,0,"Fideris GR","Fideris (GR)","Fideris GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3862,4.7,4.7,95.3,"Furna GR","Furna (GR)","Furna GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Furna. 95,3 Prozent haben sie verworfen.",,
3863,15,15,85,"Jenaz GR","Jenaz (GR)","Jenaz GR","Jenaz hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 85 Prozent abgelehnt.",,
3871,18,18,82,"Klosters-Serneus GR","Klosters-Serneus (GR)","Klosters-Serneus GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Klosters-Serneus. 82 Prozent haben sie verworfen.",,
3881,17.2,17.2,82.8,"Conters im Prättigau GR","Conters im Prättigau (GR)","Conters im Prättigau GR","Conters im Prättigau hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 82,8 Prozent abgelehnt.",,
3882,18.4,18.4,81.6,"Küblis GR","Küblis (GR)","Küblis GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Küblis. 81,6 Prozent haben sie verworfen.",,
3891,50,0,0,"Luzein GR","Luzein (GR)","Luzein GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3901,50,0,0,"Chur GR","Coire (GR)","Coira GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3911,50,0,0,"Churwalden GR","Churwalden (GR)","Churwalden GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3921,20.2,20.2,79.8,"Arosa GR","Arosa (GR)","Arosa GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Arosa: 79,8 Prozent haben das Begehren abgelehnt.",,
3932,50,0,0,"Tschiertschen-Praden GR","Tschiertschen-Praden (GR)","Tschiertschen-Praden GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3945,19.5,19.5,80.5,"Trimmis GR","Trimmis (GR)","Trimmis GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Trimmis: 80,5 Prozent haben das Begehren abgelehnt.",,
3946,19.2,19.2,80.8,"Untervaz GR","Untervaz (GR)","Untervaz GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Untervaz. 80,8 Prozent haben sie verworfen.",,
3947,18.8,18.8,81.2,"Zizers GR","Zizers (GR)","Zizers GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Zizers. 81,2 Prozent haben sie verworfen.",,
3951,50,0,0,"Fläsch GR","Fläsch (GR)","Fläsch GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3952,50,0,0,"Jenins GR","Jenins (GR)","Jenins GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3953,24.2,24.2,75.8,"Maienfeld GR","Maienfeld (GR)","Maienfeld GR","Maienfeld hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 75,8 Prozent abgelehnt.",,
3954,24.4,24.4,75.6,"Malans GR","Malans (GR)","Malans GR","Malans hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 75,6 Prozent abgelehnt.",,
3955,24,24,76,"Landquart GR","Landquart (GR)","Landquart GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Landquart: 76 Prozent haben das Begehren abgelehnt.",,
3961,50,0,0,"Grüsch GR","Grüsch (GR)","Grüsch GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3962,14.5,14.5,85.5,"Schiers GR","Schiers (GR)","Schiers GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Schiers. 85,5 Prozent haben sie verworfen.",,
3972,50,0,0,"Seewis im Prättigau GR","Seewis im Prättigau (GR)","Seewis im Prättigau GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3981,50,0,0,"Breil/Brigels GR","Breil/Brigels (GR)","Breil/Brigels GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3982,50,0,0,"Disentis/Mustér GR","Disentis/Mustér (GR)","Disentis/Mustér GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3983,15.8,15.8,84.2,"Medel (Lucmagn) GR","Medel (Lucmagn) (GR)","Medel (Lucmagn) GR","Medel (Lucmagn) hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 84,2 Prozent abgelehnt.",,
3985,16.9,16.9,83.1,"Sumvitg GR","Sumvitg (GR)","Sumvitg GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Sumvitg: 83,1 Prozent haben das Begehren abgelehnt.",,
3986,18.5,18.5,81.5,"Tujetsch GR","Tujetsch (GR)","Tujetsch GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Tujetsch. 81,5 Prozent haben sie verworfen.",,
3987,13,13,87,"Trun GR","Trun (GR)","Trun GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Trun: 87 Prozent haben das Begehren abgelehnt.",,
3988,12,12,88,"Obersaxen Mundaun GR","Obersaxen Mundaun (GR)","Obersaxen Mundaun GR","Obersaxen Mundaun hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 88 Prozent abgelehnt.",,
