"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3506,50,0,0,"Vaz/Obervaz GR","Vaz/Obervaz (GR)","Vaz/Obervaz GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3513,16.1,16.1,83.9,"Lantsch/Lenz GR","Lantsch/Lenz (GR)","Lantsch/Lenz GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Lantsch/Lenz. 83,9 Prozent haben sie verworfen.",,
3514,21.2,21.2,78.8,"Schmitten GR","Schmitten (GR)","Schmitten GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Schmitten GR. 78,8 Prozent haben sie verworfen.",,
3542,17.6,17.6,82.4,"Albula/Alvra GR","Albula/Alvra (GR)","Albula/Alvra GR","Albula/Alvra hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 82,4 Prozent abgelehnt.",,
3543,50,0,0,"Surses GR","Surses (GR)","Surses GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3544,50,0,0,"Bergün Filisur GR","Bergün Filisur (GR)","Bergün Filisur GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3551,50,0,0,"Brusio GR","Brusio (GR)","Brusio GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3561,15.6,15.6,84.4,"Poschiavo GR","Poschiavo (GR)","Poschiavo GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Poschiavo: 84,4 Prozent haben das Begehren abgelehnt.",,
3572,19.9,19.9,80.1,"Falera GR","Falera (GR)","Falera GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Falera: 80,1 Prozent haben das Begehren abgelehnt.",,
3575,50,0,0,"Laax GR","Laax (GR)","Laax GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3581,28.4,28.4,71.6,"Sagogn GR","Sagogn (GR)","Sagogn GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Sagogn. 71,6 Prozent haben sie verworfen.",,
3582,18.7,18.7,81.3,"Schluein GR","Schluein (GR)","Schluein GR","Schluein hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 81,3 Prozent abgelehnt.",,
3603,50,0,0,"Vals GR","Vals (GR)","Vals GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3618,50,0,0,"Lumnezia GR","Lumnezia (GR)","Lumnezia GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3619,50,0,0,"Ilanz/Glion GR","Ilanz/Glion (GR)","Ilanz/Glion GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3633,21.5,21.5,78.5,"Fürstenau GR","Fürstenau (GR)","Fürstenau GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Fürstenau: 78,5 Prozent haben das Begehren abgelehnt.",,
3637,15.4,15.4,84.6,"Rothenbrunnen GR","Rothenbrunnen (GR)","Rothenbrunnen GR","Rothenbrunnen hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 84,6 Prozent abgelehnt.",,
3638,18.3,18.3,81.7,"Scharans GR","Scharans (GR)","Scharans GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Scharans: 81,7 Prozent haben das Begehren abgelehnt.",,
3640,18.4,18.4,81.6,"Sils im Domleschg GR","Sils im Domleschg (GR)","Sils im Domleschg GR","Sils im Domleschg hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 81,6 Prozent abgelehnt.",,
3661,18.3,18.3,81.7,"Cazis GR","Cazis (GR)","Cazis GR","Cazis hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 81,7 Prozent abgelehnt.",,
3662,17,17,83,"Flerden GR","Flerden (GR)","Flerden GR","Flerden hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 83 Prozent abgelehnt.",,
3663,50,0,0,"Masein GR","Masein (GR)","Masein GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3668,50,0,0,"Thusis GR","Thusis (GR)","Thusis GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3669,20.9,20.9,79.1,"Tschappina GR","Tschappina (GR)","Tschappina GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Tschappina mit 68 zu 18 Stimmen abgelehnt worden.",,
3670,14.9,14.9,85.1,"Urmein GR","Urmein (GR)","Urmein GR","Nein zur kantonalen Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Urmein: 85,1 Prozent haben das Begehren abgelehnt.",,
3672,50,0,0,"Safiental GR","Safiental (GR)","Safiental GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3673,50,0,0,"Domleschg GR","Domleschg (GR)","Domleschg GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3681,50,0,0,"Avers GR","Avers (GR)","Avers GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3695,9.9,9.9,90.1,"Sufers GR","Sufers (GR)","Sufers GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Sufers mit 64 zu 7 Stimmen abgelehnt worden.",,
3701,50,0,0,"Andeer GR","Andeer (GR)","Andeer GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3711,3.8,3.8,96.2,"Rongellen GR","Rongellen (GR)","Rongellen GR","Die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" ist in Rongellen mit 25 zu 1 Stimmen abgelehnt worden.",,
3712,17.7,17.7,82.3,"Zillis-Reischen GR","Zillis-Reischen (GR)","Zillis-Reischen GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Zillis-Reischen. 82,3 Prozent haben sie verworfen.",,
3713,50,0,0,"Ferrera GR","Ferrera (GR)","Ferrera GR","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
3714,9.2,9.2,90.8,"Rheinwald GR","Rheinwald (GR)","Rheinwald GR","Rheinwald hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 90,8 Prozent abgelehnt.",,
3715,15.1,15.1,84.9,"Muntogna da Schons GR","Muntogna da Schons (GR)","Muntogna da Schons GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Muntogna da Schons. 84,9 Prozent haben sie verworfen.",,
3721,21.7,21.7,78.3,"Bonaduz GR","Bonaduz (GR)","Bonaduz GR","Keine Mehrheit für die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" in Bonaduz. 78,3 Prozent haben sie verworfen.",,
3722,22.1,22.1,77.9,"Domat/Ems GR","Domat/Ems (GR)","Domat/Ems GR","Domat/Ems hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 77,9 Prozent abgelehnt.",,
3723,19.5,19.5,80.5,"Rhäzüns GR","Rhäzüns (GR)","Rhäzüns GR","Rhäzüns hat die kantonale Volksinitiative ""Für eine naturverträgliche und ethische Jagd"" mit 80,5 Prozent abgelehnt.",,
